Rk,ID,School,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
125,1,Akron,24,11,73.6,66.2,7.46,-2.08,-2.24,5,2.77,105.6,101.54,4.06
9,2,Alabama,25,12,90.1,81.2,8.89,11.8,21.71,-1.02,20.69,126.91,98.07,28.84
4,3,Arizona,27,9,87.1,72.1,15.08,9.45,18.59,5.95,24.54,122.12,89.17,32.95
5,4,Auburn,27,8,83.1,68.3,14.8,7.66,13.48,8.98,22.46,121.57,90.09,31.48
13,5,Baylor,24,11,80.4,71.1,9.29,10.71,12.88,6.62,19.5,125.34,97.03,28.31
45,6,Boise State,22,11,75.1,67.3,7.82,7.35,5.59,7.73,13.31,115.69,95.68,20.02
14,7,Brigham Young,23,11,81.4,69.9,11.47,7.86,13.05,6.28,19.33,121.51,94.14,27.37
22,8,Clemson,24,12,77.4,71.2,6.17,10.04,8.11,8.1,16.2,118.69,95.62,23.07
158,9,Colgate,25,10,71.4,64.1,7.31,-5.55,-3.9,3.59,-0.31,102.85,103.07,-0.22
114,10,College of Charleston,27,8,80.9,73.6,7.34,-2.38,7.26,-3.17,4.09,111.5,105.39,6.11
24,11,Colorado,26,11,79.3,71.7,7.59,8.36,10.09,5.86,15.95,118.9,96.38,22.52
43,12,Colorado State,25,11,75.2,67.3,7.92,7.28,4.71,8.69,13.4,115.56,96.01,19.54
1,13,Connecticut,37,3,81.4,63.4,18,8.7,12.04,14.67,26.7,127.65,89.05,38.6
11,14,Creighton,25,10,80.4,69.9,10.54,9.53,12.41,7.66,20.07,122.98,94.05,28.93
41,15,Dayton,25,8,74.2,66.5,7.73,5.73,4.96,8.49,13.45,118.29,98.15,20.14
60,16,Drake,28,7,79.9,70.4,9.54,1.84,8.12,2.96,11.08,115.2,99.18,16.02
10,17,Duke,27,9,78.6,66.3,12.31,8.36,10.4,10.27,20.67,122.91,92.47,30.43
90,18,Duquesne,25,12,70.6,66.7,3.89,4.68,-0.49,7.84,7.35,107.08,96.48,10.61
26,19,Florida,24,12,85.6,79.2,6.36,8.81,16.32,-1.15,15.17,119.81,98.89,20.92
46,20,Florida Atlantic,25,9,82,73.4,8.65,4.61,11.07,2.19,13.26,118.32,99.36,18.96
16,21,Gonzaga,27,8,84.5,69.1,15.4,4.02,12.87,5.06,17.93,122.62,97.22,25.41
296,22,Grambling,21,15,67.7,69.6,-1.94,-5.48,-9.44,-0.19,-9.63,96.11,109.64,-13.53
64,23,Grand Canyon,30,5,79.1,67,12.09,-0.52,5.21,5.24,10.45,111.56,96.28,15.28
2,24,Houston,32,5,73.5,57.6,15.89,9.8,6.19,19.5,25.69,120.4,81.96,38.45
283,25,Howard,18,17,74.9,74.3,0.66,-8.02,-1.15,-7.54,-8.69,102.68,114.84,-12.17
12,26,Illinois,29,9,83.4,73.3,10.03,9.54,16.22,3.34,19.56,124.46,96.86,27.6
